route_id,trip_id,leg_sequence,from_stop_id,to_stop_id,countries,scheduled_running_min,routed_driving_min,routed_dynamics_min,routed_model_min,implied_buffer_min,implied_buffer_pct,routed_buffer_min,applied_buffer_pct,routed_distance_km,excluded_reason
1,ÖBB NJ 468,1,Wien Hbf,Wien Meidling,AT,,3,1.0,4,,,,,3.5,no_timetable
1,ÖBB NJ 468,2,Wien Meidling,St. Pölten Hbf,AT,,40,1.0,41,,,,,62.5,no_timetable
1,ÖBB NJ 468,3,St. Pölten Hbf,Linz Hbf,AT,,46,2.0,48,,,,,122.8,no_timetable
1,ÖBB NJ 468,4,Linz Hbf,Salzburg Hbf,AT,,63,1.0,64,,,,,124.2,no_timetable
1,ÖBB NJ 468,5,Salzburg Hbf,Rosenheim,AT+DE,,50,1.0,51,,,,,88.2,no_timetable
1,ÖBB NJ 468,6,Rosenheim,München Ost,DE,,27,1.0,28,,,,,55.0,no_timetable
1,ÖBB NJ 468,7,München Ost,Koblenz Hbf,DE,420,262,1.0,263,157,59.7,,,533.6,
1,ÖBB NJ 468,8,Koblenz Hbf,Bonn Hbf,DE,42,29,1.0,30,12,40.0,,,59.1,
1,ÖBB NJ 468,9,Bonn Hbf,Köln Ehrenfeld,DE,38,17,1.0,18,20,111.1,,,33.9,
1,ÖBB NJ 468,10,Köln Ehrenfeld,Aachen Hbf,DE,42,38,1.0,39,3,7.7,,,67.1,
1,ÖBB NJ 468,11,Aachen Hbf,Liège Guillemins / Luik Guillemins,BE+DE,61,39,1.0,40,21,52.5,,,54.4,
1,ÖBB NJ 468,12,Liège Guillemins / Luik Guillemins,Bruxelles Noord / Brussel Nord,BE,57,46,1.0,47,10,21.3,,,98.7,
1,ÖBB NJ 468,13,Bruxelles Noord / Brussel Nord,Bruxelles Noord / Brussel Nord,,1,0,0,0,1,,,,0.0,zero_routed_time
1,ÖBB NJ 468,14,Bruxelles Noord / Brussel Nord,Bruxelles Midi / Brussel Zuid,BE,10,5,0,5,5,,,,3.5,leg_too_short
10,PKP TLK 35190/50191,1,Kraków Gł.,Trzebinia,PL,,18,1.0,19,,,,,38.8,no_timetable
10,PKP TLK 35190/50191,2,Trzebinia,Gdańsk Gł.,PL,520,272,1.0,273,247,90.5,,,627.0,
10,PKP TLK 35190/50191,3,Gdańsk Gł.,Gdynia Gł.,PL,31,12,1.0,13,18,138.5,,,21.0,
10,PKP TLK 35190/50191,4,Gdynia Gł.,Hel,PL,129,53,1.0,54,75,138.9,,,76.0,
100,FS IC Notte 794,1,Reggio Calabria Centrale,Tropea,IT,,54,1.0,55,,,,,89.4,no_timetable
100,FS IC Notte 794,2,Tropea,Lamezia Terme Centrale,IT,,32,1.0,33,,,,,52.2,no_timetable
100,FS IC Notte 794,3,Lamezia Terme Centrale,Roma Ostiense,IT,353,229,1.0,230,123,53.5,,,543.8,
100,FS IC Notte 794,4,Roma Ostiense,Civitavecchia,IT,48,31,1.0,32,16,50.0,,,70.7,
100,FS IC Notte 794,5,Civitavecchia,Grosseto,IT,59,51,1.0,52,7,13.5,,,109.7,
100,FS IC Notte 794,6,Grosseto,Livorno Centrale,IT,72,46,2.0,48,24,50.0,,,127.6,
100,FS IC Notte 794,7,Livorno Centrale,Pisa Centrale,IT,24,12,1.0,13,11,84.6,,,20.6,
100,FS IC Notte 794,8,Pisa Centrale,La Spezia Centrale,IT,59,36,1.0,37,22,59.5,,,74.5,
100,FS IC Notte 794,9,La Spezia Centrale,Genova Piazza Principe,IT,123,55,1.0,56,67,119.6,,,86.6,
100,FS IC Notte 794,10,Genova Piazza Principe,Torino Porta Nuova,IT,111,75,1.0,76,35,46.1,,,158.5,
101,FS IC Notte 1954,1,Palermo Centrale,Termini Imerese,,,,,,,,,,,routing_failed
101,FS IC Notte 1954,2,Termini Imerese,Barcellona Castroreale,,,,,,,,,,,routing_failed
101,FS IC Notte 1954,3,Barcellona Castroreale,Messina Centrale,,,,,,,,,,,routing_failed
101,FS IC Notte 1954,4,Messina Centrale,Lamezia Terme Centrale,,,,,,,,,,,routing_failed
101,FS IC Notte 1954,5,Lamezia Terme Centrale,Roma Termini,,370,,,,,,,,,routing_failed
102,FS IC Notte 1958,1,Palermo Centrale,Termini Imerese,,,,,,,,,,,routing_failed
102,FS IC Notte 1958,2,Termini Imerese,Barcellona Castroreale,,,,,,,,,,,routing_failed
102,FS IC Notte 1958,3,Barcellona Castroreale,Messina Centrale,,,,,,,,,,,routing_failed
102,FS IC Notte 1958,4,Messina Centrale,Salerno,,367,,,,,,,,,routing_failed
102,FS IC Notte 1958,5,Salerno,Napoli Centrale,,40,,,,,,,,,routing_failed
102,FS IC Notte 1958,6,Napoli Centrale,Roma Termini,,193,,,,,,,,,routing_failed
103,FS IC Notte 1955 (S),1,Roma Termini,Napoli Centrale,,,,,,,,,,,routing_failed
103,FS IC Notte 1955 (S),2,Napoli Centrale,Salerno,,,,,,,,,,,routing_failed
103,FS IC Notte 1955 (S),3,Salerno,Messina Centrale,,326,,,,,,,,,routing_failed
103,FS IC Notte 1955 (S),4,Messina Centrale,Taormina Giardini,,92,,,,,,,,,routing_failed
